TIC_Number,TOI_Number,SG2/4 Status,"ID (HD, HIP, TYC, etc)",GAIA,Distance,Parallax,Gaia_Source,RA,pm_RA,Dec,pm_Dec,Reddening_mag,Reddening_uncertainty_min,Reddening_uncertainty_max,av,e_av,Teff,e_Teff,logg,e_logg,metallicity,e_metallicity,author,bibcode,SpType,Mult?,Gal_Lon,Gal_Lat
231912935,215.01,VPC,,4900600363827037184,167.5879,5.984017,DR3,7.318005,-12.4183,-63.7906,-6.00763,0.005,0.016,0.016,0.01655,0.05296,,,,,,,,,,N,307.010939,-53.16175476
234345288,213.01,VPC?,,4644950166473815168,54.34059,18.41945,DR3,38.88731,50.98877,-71.6242,-19.9673,0.002,0.015,0.015,0.00662,0.04965,,,,,,,,,,N,291.9887823,-43.22358554
234994474,134.01,P,,6491962300492857472,25.19254,39.71129,DR3,350.0285,-319.924,-60.0657,-127.782,0.001,0.015,0.015,0.00369,0.05535,,,,,,,,,,N,321.9545964,-53.56037354
237913194,2179.01,P,,4715813347286590080,309.4534,3.248504,DR3,22.44582,18.1239,-60.7399,10.4455,0.011,0.014,0.014,0.03641,0.04634,,,,,,,,,,N,294.6131765,-55.76467977
237928815,703.01-02,PC/CPC-,,4680955152194756864,120.7832,8.236830917,DR3,57.99983,28.94891,-59.8824,32.62255,0.002,0.014,0.014,0.00662,0.04634,,,,,,,,,,Y,272.6231077,-45.18831055
238176110,116.01,KP,,6386751579018596864,151.5664,6.614766,DR3,357.8465,96.19106,-70.1529,-1.87783,0.005,0.016,0.016,0.01655,0.05296,,,,,,,,,,N,310.2213126,-46.11605689
251094370,2437.01,PC,,2488833531129286784,291.1026,3.452215,DR3,37.93858,7.057666,-5.51499,-18.9795,0.024,0.02,0,0.07944,0.0662,5750,250,4,0.5,0,0.5,TRES,,,N,175.2774179,-57.79797532
251848941,178.01-03,P/P/P,,2318295979126499200,62.96028,15.90003,DR3,7.302036,150.0321,-30.4541,-87.1322,0.001,0.015,0.015,0.00331,0.04965,4500,250,4,0.5,0,0.5,TRES,,,N,357.2956323,-84.10341799
255685030,799.01,VPC?,,5501542395359045504,158.2849,6.334724,DR3,98.46913,26.64474,-52.4603,33.62366,0.003,0.014,0.014,0.00993,0.04634,,,,,,,,,,N,261.3387386,-23.77075928
258804746,2431.01,CPC,,22707874346819712,36.0301,27.77157,DR3,37.76535,374.862,8.381614,-85.6871,0.001,0.014,0.014,0.00331,0.04634,4250,250,3.5,0.5,0,0.5,TRES,,,N,160.6381802,-47.06597581
259592689,429.01,STPC,,4777069717050967040,120.2666,8.331864,DR3,72.97732,50.00591,-53.8296,223.6324,0.001,0.013,0.013,0.00331,0.04303,,,,,,,,,,N,261.7254476,-39.03504995
260004324,704.01,VP,,5500061456275483776,29.81243,33.56006,DR3,91.09015,681.7669,-55.3115,342.1657,0,0.014,0.014,0,0.05166,,,,,,,,,,N,263.5573236,-28.57431964
260417932,932.01-02,VPC?/PC,,5499671713762981248,85.72744,11.68188,DR3,95.94093,-40.9038,-54.578,35.05536,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,263.2475745,-25.70371648
260708537,486.01,CPC-,,5482827676662168832,15.21954,65.72201,DR3,98.45477,-404.05,-58.5249,795.9496,0,0.014,0.014,0,0.05166,,,,,,,,,,N,267.8375526,-25.12315632
261136679,144.01,P,* pi. Men,4623036865373793408,18.29307,54.68251,DR3,84.29954,310.9088,-80.4645,1049.06,0.001,0.015,0.015,0.00331,0.04965,6003,17,4.42,0.03,0.09,0.01,Sousa,2008A&A...487..373S,,N,292.5134984,-29.77632079
261257684,904.01,VPC,,4620844400530949376,46.09952,21.7092,DR3,89.37124,-28.7743,-83.1297,110.9276,0.002,0.015,0.015,0.00738,0.05535,,,,,,,,,,N,295.324498,-28.52474285
