solution_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,epoch,blue_minus_red,distance,abs_g_mag
1.64E+18,3.84E+18,7.5441976,7.974055,6.9388647,TIC_170889511_,2000,1.0351903,32.29713,4.998377942
1.64E+18,5.05E+18,10.076372,10.42888,9.557727,TIC_176778112_,2000,0.871153,110.847,4.852752281
1.64E+18,4.90E+18,9.611574,10.059778,8.999003,TIC_179034327_,2000,1.060775,57.5111,5.812815628
1.64E+18,6.53E+18,10.895415,11.453864,10.192976,TIC_183537452_,2000,1.260888,87.5814,6.183355584
1.64E+18,2.59E+18,12.06462,12.678854,11.320618,TIC_188570092_,2000,1.358236,127.048,6.544780836
1.64E+18,4.74E+18,9.325518,9.632264,8.851143,TIC_200807066_,2000,0.781121,110.7414,4.103967952
1.64E+18,4.74E+18,8.890653,9.201503,8.412791,TIC_201793781_,2000,0.788712,76.18808,4.481217854
1.64E+18,2.39E+18,11.968609,12.355785,11.414897,TIC_204376737_,2000,0.940888,200.3887,5.459242861
1.64E+18,4.73E+18,8.741666,9.190199,8.127134,TIC_207141131_,2000,1.063065,38.65826,5.805454487
1.64E+18,5.06E+18,10.979199,11.275412,10.511707,TIC_209459275_,2000,0.763705,233.8143,4.134843655
1.64E+18,5.55E+18,11.456068,11.938715,10.8132,TIC_219205407_,2000,1.125515,167.1973,5.3399217
1.64E+18,4.78E+18,11.767068,12.75956,10.778656,TIC_219229644_,2000,1.980904,53.86343,8.110597972
1.64E+18,4.78E+18,11.398623,11.724825,10.907,TIC_219239945_,2000,0.817825,217.3871,4.712454155
1.64E+18,6.49E+18,10.72307,11.431256,9.909517,TIC_219338557_,2000,1.521739,48.5198,7.29347499
1.64E+18,4.78E+18,10.349036,10.83773,9.703729,TIC_219344917_,2000,1.134001,67.94806,6.188150692
1.64E+18,4.77E+18,11.282508,11.795114,10.617765,TIC_219388773_,2000,1.177349,106.8628,6.138375253
1.64E+18,6.54E+18,9.761134,10.082574,9.27598,TIC_224225541_,2000,0.806594,101.178,4.735703548
1.64E+18,4.91E+18,10.425592,10.774559,9.913788,TIC_230982885_,2000,0.860771,151.1599,4.52840902
1.64E+18,4.77E+18,12.653248,13.952091,11.528049,TIC_231728511_,2000,2.424042,38.03862,9.752124236
1.64E+18,4.90E+18,10.949447,11.289997,10.446223,TIC_231912935_,2000,0.843774,167.5879,4.828233705
1.64E+18,4.64E+18,10.475887,11.114484,9.717133,TIC_234345288_,2000,1.397351,54.34059,6.800265253
1.64E+18,6.49E+18,10.237262,11.261691,9.237216,TIC_234994474_,2000,2.024475,25.19254,8.230902216
1.64E+18,4.72E+18,11.930126,12.2730665,11.425638,TIC_237913194_,2000,0.8474285,309.4534,4.477149707
1.64E+18,4.68E+18,10.698318,11.085008,10.144797,TIC_237928815_,2000,0.940211,120.7832,5.288285342
