TIC,TOI,SG1Disposition,Rplanet,Period,CK2016_Mass,PredictedK,Mstar_TIC8,Rstar_TIC8,Teff_TIC8
198189972,4117.01,PC,9.298,25.092914,63.597,13.62,1.03,1.34,5775
287156968,1230.01,VP,2.845,25.059898,8.493,1.7,1.14,1.15,5872
328933398,1873.01,VPC?,4.911,24.93345,21.484,4.65,1.02,0.97,5539
356158613,1449.01,PC,4.756,24.71039,20.347,6.34,0.59,0.6,3999
31852980,487.01,PC,2.728,24.332261,7.906,1.8,0.95,1.01,5598
277566483,1356.01,VPC,9.444,24.28546,65.296,14.41,NaN,NaN,8125
445805961,1710.01,VPC?,5.389,24.28313,25.16,5.52,1.01,0.98,5675
447061717,1231.01,VPC,3.71,24.245582,13.337,4.92,0.46,0.47,3670
435680451,1762.01,PC,3.922,24.149899,14.657,2.92,1.17,0.95,5612
356736743,3832.01,PC,9.661,24.079692,67.869,14.19,1.09,1.05,5952
165763244,1805.01,PC,3.118,24.073068,9.923,2.37,0.89,0.86,5313
219436394,2100.01,PC,2.8,23.657487,8.267,1.87,0.97,0.85,5499
237232044,1443.01,PC,2.328,23.540606,6.041,1.46,0.89,0.75,5236
234345288,213.01,VPC?,2.455,23.519916,6.612,1.84,0.72,0.67,4457
149601126,2525.01,PC,6.672,23.349908,36.169,9.31,0.81,0.82,4944
116382006,3977.01,PC,10.941,23.257514,83.863,18.78,1,0.88,5627
229508727,4060.01,PC,10.544,23.131363,78.754,17.67,NaN,NaN,NaN
142387023,1824.01,PC,2.415,22.80811,6.428,1.58,0.88,0.82,5182
24358417,2338.01,VPC,12.244,22.653961,101.532,23.41,0.97,1.12,5456
131979339,586.01,VPC?,28.01,22.641008,317,39.73,2.42,2.42,8000
237928815,703.02,CPC-,2.56,22.568363,7.1,1.66,0.95,0.88,5390
314865962,208.01,PC,3.018,22.463565,9.388,2.16,0.98,0.98,5464
229455001,1744.01,PC,2.721,22.34119,7.875,1.6,1.18,1.14,6151
229786610,4113.01,PC,4.145,22.159428,16.107,4,0.88,0.79,5174
233951353,1441.01,PC,2.78,22.095791,8.169,1.78,1.07,1.24,5818
354518617,2540.02,PC,2.291,22.081997,5.878,1.82,0.63,0.66,4023
233500935,2297.01,PC,2.131,22.052935,5.196,1.39,0.79,0.79,4790
219229644,870.01,VPC+,2.335,22.037955,6.071,1.95,0.6,0.61,3872
143022742,4323.02,PC,4.106,21.969258,15.849,6.11,0.46,0.46,3414
33831980,806.01,PC,2.206,21.916538,5.512,1.68,0.65,0.63,4075
235684392,4053.01,PC,15.18,21.790827,317,68.43,1.09,1.21,5957
459970307,1154.01,PC,2.805,21.745172,8.294,1.87,1.02,0.93,5704
420112217,4163.01,PC,7.63,21.561789,45.443,10.44,1,1.28,5644
453211454,509.02,PC,3.001,21.401654,9.301,2.17,0.98,0.96,5545
55559618,695.01,PC,2.001,21.3765,4.671,1.11,0.96,0.81,5394
119584412,1801.01,VPC,2.17,21.284406,5.361,1.86,0.54,0.55,3901
219857012,1742.01,PC,2.367,21.270741,6.212,1.41,1.02,1.16,5707
334811204,2063.01,CPC,11.656,21.07626,93.385,14.83,1.76,2.46,6545
306263608,1471.01,PC,4.283,20.772024,17.025,3.96,1,0.97,5635
367858035,1758.01,VPC?,3.488,20.705132,12.008,3.04,0.88,0.81,5169
146776480,2605.01,PC,8.178,20.600579,51.131,19.11,0.49,0.49,3821
130181866,1726.02,P,2.636,20.545913,7.46,1.73,1.01,0.9,5653
325275736,3275.01,PC,11.689,20.502077,93.833,27.53,0.71,0.78,4511
161477033,553.03,PC,2.732,20.445026,7.929,1.97,0.91,0.88,5268
207468071,1836.01,VPC,8.143,20.382317,50.759,10.18,1.26,1.62,6292
142087638,2404.01,VPC,4.07,20.362883,15.61,3.31,1.16,1.18,5864
119292328,512.02,PC,1.749,20.274939,3.715,0.92,0.92,0.88,5336
230387153,2086.02,PC,2.243,20.262282,5.67,1.4,0.92,0.91,5286
300812741,2322.01,PC,1.611,20.225624,3.231,0.96,0.7,0.7,4465
272679240,2275.01,PC,2.453,20.155905,6.601,1.81,0.79,0.71,4844
358253047,4351.01,PC,2.756,20.145939,8.046,2.01,0.91,0.89,5303
298647682,1643.01,PC,2.522,20.078713,6.919,1.94,0.77,0.78,4763
